totim,time_step,stress_period,name,ZONE_1
943.0,0,31,FROM_STORAGE,144535.02
943.0,0,31,FROM_CONSTANT_HEAD,30517.752
943.0,0,31,FROM_DRAINS,0.0
943.0,0,31,FROM_RECHARGE,293418.75
943.0,0,31,FROM_ZONE_0,0.0
943.0,0,31,FROM_ZONE_1,0.0
943.0,0,31,TOTAL_IN,468471.5
943.0,0,31,TO_STORAGE,450.69968
943.0,0,31,TO_CONSTANT_HEAD,0.0
943.0,0,31,TO_DRAINS,99635.23
943.0,0,31,TO_RECHARGE,0.0
943.0,0,31,TO_ZONE_0,0.0
943.0,0,31,TO_ZONE_1,0.0
943.0,0,31,TOTAL_OUT,100085.93
943.0,0,31,IN-OUT,368385.56
943.0,0,31,PERCENT_DISCREPANCY,129.58604
974.0,0,32,FROM_STORAGE,142745.83
974.0,0,32,FROM_CONSTANT_HEAD,30519.432
974.0,0,32,FROM_DRAINS,0.0
974.0,0,32,FROM_RECHARGE,293418.75
974.0,0,32,FROM_ZONE_0,0.0
974.0,0,32,FROM_ZONE_1,0.0
974.0,0,32,TOTAL_IN,466684.0
974.0,0,32,TO_STORAGE,398.8457
974.0,0,32,TO_CONSTANT_HEAD,0.0
974.0,0,32,TO_DRAINS,97901.664
974.0,0,32,TO_RECHARGE,0.0
974.0,0,32,TO_ZONE_0,0.0
974.0,0,32,TO_ZONE_1,0.0
974.0,0,32,TOTAL_OUT,98300.51
974.0,0,32,IN-OUT,368383.5
974.0,0,32,PERCENT_DISCREPANCY,130.40483
1004.0,0,33,FROM_STORAGE,141103.52
1004.0,0,33,FROM_CONSTANT_HEAD,30521.207
1004.0,0,33,FROM_DRAINS,0.0
1004.0,0,33,FROM_RECHARGE,293418.75
1004.0,0,33,FROM_ZONE_0,0.0
1004.0,0,33,FROM_ZONE_1,0.0
1004.0,0,33,TOTAL_IN,465043.47
1004.0,0,33,TO_STORAGE,361.92712
1004.0,0,33,TO_CONSTANT_HEAD,0.0
1004.0,0,33,TO_DRAINS,96299.95
1004.0,0,33,TO_RECHARGE,0.0
1004.0,0,33,TO_ZONE_0,0.0
1004.0,0,33,TO_ZONE_1,0.0
1004.0,0,33,TOTAL_OUT,96661.88
1004.0,0,33,IN-OUT,368381.6
1004.0,0,33,PERCENT_DISCREPANCY,131.16542
1035.0,0,34,FROM_STORAGE,139487.53
1035.0,0,34,FROM_CONSTANT_HEAD,30523.117
1035.0,0,34,FROM_DRAINS,0.0
1035.0,0,34,FROM_RECHARGE,293418.75
1035.0,0,34,FROM_ZONE_0,0.0
1035.0,0,34,FROM_ZONE_1,0.0
1035.0,0,34,TOTAL_IN,463429.4
1035.0,0,34,TO_STORAGE,327.54553
1035.0,0,34,TO_CONSTANT_HEAD,0.0
1035.0,0,34,TO_DRAINS,94722.19
1035.0,0,34,TO_RECHARGE,0.0
1035.0,0,34,TO_ZONE_0,0.0
1035.0,0,34,TO_ZONE_1,0.0
1035.0,0,34,TOTAL_OUT,95049.734
1035.0,0,34,IN-OUT,368379.7
1035.0,0,34,PERCENT_DISCREPANCY,131.92245
1065.0,0,35,FROM_STORAGE,137989.1
1065.0,0,35,FROM_CONSTANT_HEAD,30524.998
1065.0,0,35,FROM_DRAINS,0.0
1065.0,0,35,FROM_RECHARGE,293418.75
1065.0,0,35,FROM_ZONE_0,0.0
1065.0,0,35,FROM_ZONE_1,0.0
1065.0,0,35,TOTAL_IN,461932.84
1065.0,0,35,TO_STORAGE,297.4051
1065.0,0,35,TO_CONSTANT_HEAD,0.0
1065.0,0,35,TO_DRAINS,93257.625
1065.0,0,35,TO_RECHARGE,0.0
1065.0,0,35,TO_ZONE_0,0.0
1065.0,0,35,TO_ZONE_1,0.0
1065.0,0,35,TOTAL_OUT,93555.03
1065.0,0,35,IN-OUT,368377.8
1065.0,0,35,PERCENT_DISCREPANCY,132.63217
1096.0,0,36,FROM_STORAGE,136637.16
1096.0,0,36,FROM_CONSTANT_HEAD,30526.951
1096.0,0,36,FROM_DRAINS,0.0
1096.0,0,36,FROM_RECHARGE,293418.75
1096.0,0,36,FROM_ZONE_0,0.0
1096.0,0,36,FROM_ZONE_1,0.0
1096.0,0,36,TOTAL_IN,460582.88
1096.0,0,36,TO_STORAGE,269.25186
1096.0,0,36,TO_CONSTANT_HEAD,0.0
1096.0,0,36,TO_DRAINS,91937.65
1096.0,0,36,TO_RECHARGE,0.0
1096.0,0,36,TO_ZONE_0,0.0
